"STATION","NAME","DATE","PRCP","TAVG"
"ASN00009021","PERTH AIRPORT, AS","1966-01","2.9","24.3"
"ASN00009021","PERTH AIRPORT, AS","1966-02","2.9","23.2"
"ASN00009021","PERTH AIRPORT, AS","1966-03","5.7","22.3"
"ASN00009021","PERTH AIRPORT, AS","1966-04","35.9","18.4"
"ASN00009021","PERTH AIRPORT, AS","1966-05","61.7","15.8"
"ASN00009021","PERTH AIRPORT, AS","1966-06","173.7","13.2"
"ASN00009021","PERTH AIRPORT, AS","1966-07","197.2","12.6"
"ASN00009021","PERTH AIRPORT, AS","1966-08","69.2","12.6"
"ASN00009021","PERTH AIRPORT, AS","1966-09","75.2","13.4"
"ASN00009021","PERTH AIRPORT, AS","1966-10","37.1","16.3"
"ASN00009021","PERTH AIRPORT, AS","1966-11","7.7","19.6"
"ASN00009021","PERTH AIRPORT, AS","1966-12","12.0","21.9"
"ASN00009021","PERTH AIRPORT, AS","1967-01","1.8","24.3"
"ASN00009021","PERTH AIRPORT, AS","1967-02","7.6","26.4"
"ASN00009021","PERTH AIRPORT, AS","1967-03","7.6","22.0"
"ASN00009021","PERTH AIRPORT, AS","1967-04","74.9","19.9"
"ASN00009021","PERTH AIRPORT, AS","1967-05","229.0","16.2"
"ASN00009021","PERTH AIRPORT, AS","1967-06","242.7","15.4"
"ASN00009021","PERTH AIRPORT, AS","1967-07","166.1","12.3"
"ASN00009021","PERTH AIRPORT, AS","1967-08","99.3","12.6"
"ASN00009021","PERTH AIRPORT, AS","1967-09","36.1","14.9"
"ASN00009021","PERTH AIRPORT, AS","1967-10","34.4","18.1"
"ASN00009021","PERTH AIRPORT, AS","1967-11","16.5","19.6"
"ASN00009021","PERTH AIRPORT, AS","1967-12","26.2","22.3"
"ASN00009021","PERTH AIRPORT, AS","1968-01","17.1","24.0"
"ASN00009021","PERTH AIRPORT, AS","1968-02","19.4","23.2"
"ASN00009021","PERTH AIRPORT, AS","1968-03","61.9","20.2"
"ASN00009021","PERTH AIRPORT, AS","1968-04","74.9","16.3"
"ASN00009021","PERTH AIRPORT, AS","1968-05","63.1","13.3"
"ASN00009021","PERTH AIRPORT, AS","1968-06","226.5","13.5"
"ASN00009021","PERTH AIRPORT, AS","1968-07","185.1","12.9"
"ASN00009021","PERTH AIRPORT, AS","1968-08","94.7","11.3"
"ASN00009021","PERTH AIRPORT, AS","1968-09","129.7","13.4"
"ASN00009021","PERTH AIRPORT, AS","1968-10","47.8","15.6"
"ASN00009021","PERTH AIRPORT, AS","1968-11","6.9","17.5"
"ASN00009021","PERTH AIRPORT, AS","1968-12","3.1","21.2"
"ASN00009021","PERTH AIRPORT, AS","1969-01","5.1","22.1"
"ASN00009021","PERTH AIRPORT, AS","1969-02","0.3","24.0"
"ASN00009021","PERTH AIRPORT, AS","1969-03","16.2","21.6"
"ASN00009021","PERTH AIRPORT, AS","1969-04","51.8","19.0"
"ASN00009021","PERTH AIRPORT, AS","1969-05","58.1","15.9"
"ASN00009021","PERTH AIRPORT, AS","1969-06","208.1","14.4"
"ASN00009021","PERTH AIRPORT, AS","1969-07","86.1","12.4"
"ASN00009021","PERTH AIRPORT, AS","1969-08","52.2","12.8"
"ASN00009021","PERTH AIRPORT, AS","1969-09","11.5","13.7"
"ASN00009021","PERTH AIRPORT, AS","1969-10","1.3","19.3"
"ASN00009021","PERTH AIRPORT, AS","1969-11","23.9","20.4"
"ASN00009021","PERTH AIRPORT, AS","1969-12","9.2","22.5"
"ASN00009021","PERTH AIRPORT, AS","1970-01","1.3","23.0"
"ASN00009021","PERTH AIRPORT, AS","1970-02","46.3","25.7"
"ASN00009021","PERTH AIRPORT, AS","1970-03","1.6","23.5"
"ASN00009021","PERTH AIRPORT, AS","1970-04","69.7","17.6"
"ASN00009021","PERTH AIRPORT, AS","1970-05","155.0","15.7"
"ASN00009021","PERTH AIRPORT, AS","1970-06","229.8","14.6"
"ASN00009021","PERTH AIRPORT, AS","1970-07","132.0","13.9"
"ASN00009021","PERTH AIRPORT, AS","1970-08","79.3","13.4"
"ASN00009021","PERTH AIRPORT, AS","1970-09","76.0","14.2"
"ASN00009021","PERTH AIRPORT, AS","1970-10","39.8","16.7"
"ASN00009021","PERTH AIRPORT, AS","1970-11","12.1","18.5"
"ASN00009021","PERTH AIRPORT, AS","1970-12","4.6","22.7"
"ASN00009021","PERTH AIRPORT, AS","1971-01","17.6","23.2"
"ASN00009021","PERTH AIRPORT, AS","1971-02","8.4","23.6"
"ASN00009021","PERTH AIRPORT, AS","1971-03","54.1","22.7"
"ASN00009021","PERTH AIRPORT, AS","1971-04","22.8","17.7"
"ASN00009021","PERTH AIRPORT, AS","1971-05","83.1","15.5"
"ASN00009021","PERTH AIRPORT, AS","1971-06","93.7","13.8"
"ASN00009021","PERTH AIRPORT, AS","1971-07","108.4","12.9"
"ASN00009021","PERTH AIRPORT, AS","1971-08","83.2","12.8"
"ASN00009021","PERTH AIRPORT, AS","1971-09","163.0","14.0"
"ASN00009021","PERTH AIRPORT, AS","1971-10","124.8","14.6"
"ASN00009021","PERTH AIRPORT, AS","1971-11","14.6","16.6"
"ASN00009021","PERTH AIRPORT, AS","1971-12","2.3","20.4"
"ASN00009021","PERTH AIRPORT, AS","1972-01","0.0","24.6"
"ASN00009021","PERTH AIRPORT, AS","1972-02","0.0","26.5"
"ASN00009021","PERTH AIRPORT, AS","1972-03","4.9","23.3"
"ASN00009021","PERTH AIRPORT, AS","1972-04","28.3","18.4"
"ASN00009021","PERTH AIRPORT, AS","1972-05","23.1","17.8"
"ASN00009021","PERTH AIRPORT, AS","1972-06","135.1","13.8"
"ASN00009021","PERTH AIRPORT, AS","1972-07","142.8","12.6"
"ASN00009021","PERTH AIRPORT, AS","1972-08","154.7","12.8"
"ASN00009021","PERTH AIRPORT, AS","1972-09","36.6","14.8"
"ASN00009021","PERTH AIRPORT, AS","1972-10","47.1","16.1"
"ASN00009021","PERTH AIRPORT, AS","1972-11","2.9","21.1"
"ASN00009021","PERTH AIRPORT, AS","1972-12","1.3","24.1"
"ASN00009021","PERTH AIRPORT, AS","1973-01","13.2","24.8"
"ASN00009021","PERTH AIRPORT, AS","1973-02","0.5","22.9"
"ASN00009021","PERTH AIRPORT, AS","1973-03","0.0","22.1"
"ASN00009021","PERTH AIRPORT, AS","1973-04","63.7","18.7"
"ASN00009021","PERTH AIRPORT, AS","1973-05","108.6","16.2"
"ASN00009021","PERTH AIRPORT, AS","1973-06","189.2","12.6"
"ASN00009021","PERTH AIRPORT, AS","1973-07","219.6","13.5"
"ASN00009021","PERTH AIRPORT, AS","1973-08","107.2","12.9"
"ASN00009021","PERTH AIRPORT, AS","1973-09","144.0","13.5"
"ASN00009021","PERTH AIRPORT, AS","1973-10","55.6","15.9"
